[2026-04-29T10:34:32Z] BAN 196.216.144.2 | Z-Score 47.38 | rate: 57 | baseline: 3.40 | duration: 10m
[2026-04-29T10:41:17Z] BAN 111.170.35.22 | Z-Score 3.21 | rate: 7 | baseline: 2.71 | duration: 10m
[2026-04-29T10:48:04Z] BAN 196.216.144.2 | Z-Score 65.45 | rate: 84 | baseline: 3.07 | duration: 10m
[2026-04-29T10:58:37Z] BAN 196.216.144.2 | Z-Score 69.89 | rate: 81 | baseline: 2.31 | duration: 10m
[2026-04-29T11:20:07Z] BAN 196.216.144.2 | Z-Score 123.31 | rate: 123 | baseline: 3.29 | duration: 10m
[2026-04-29T11:30:11Z] UNBAN 196.216.144.2 | condition: Time Expired | rate: 0 | baseline: 3.23 | duration: N/A
[2026-04-29T11:33:19Z] BAN 196.216.144.2 | Z-Score 3.59 | rate: 7 | baseline: 3.15 | duration: 30m
[2026-04-29T11:36:07Z] BAN 196.216.144.2 | Z-Score 90.45 | rate: 87 | baseline: 2.61 | duration: 10m
[2026-04-29T11:46:15Z] UNBAN 196.216.144.2 | condition: Time Expired | rate: 0 | baseline: 2.56 | duration: N/A
[2026-04-29T12:30:00Z] BAN 196.216.144.2 | Z-Score 96.14 | rate: 103 | baseline: 2.97 | duration: 10m
[2026-04-29T12:40:03Z] UNBAN 196.216.144.2 | condition: Time Expired | rate: 0 | baseline: 2.97 | duration: N/A
[2026-04-29T13:14:07Z] BAN 196.216.144.2 | Z-Score 5.00 | rate: 4 | baseline: 1.50 | duration: 10m
